id,failure
26570,0.492
26571,0.455
26572,0.477
26573,0.466
26574,0.666
26575,0.435
26576,0.424
26577,0.54
26578,0.386
26579,0.443
26580,0.414
26581,0.501
26582,0.491
26583,0.468
26584,0.53
26585,0.442
26586,0.453
26587,0.428
26588,0.524
26589,0.461
26590,0.467
26591,0.544
26592,0.525
26593,0.469
26594,0.441
26595,0.527
26596,0.552
26597,0.472
26598,0.588
26599,0.464
26600,0.478
26601,0.528
26602,0.641
26603,0.488
26604,0.439
26605,0.435
26606,0.385
26607,0.457
26608,0.41
26609,0.534
26610,0.451
26611,0.452
26612,0.379
26613,0.508
26614,0.436
26615,0.458
26616,0.473
26617,0.402
26618,0.726
26619,0.457
26620,0.476
26621,0.449
26622,0.475
26623,0.514
26624,0.47
26625,0.495
26626,0.413
26627,0.674
26628,0.402
26629,0.639
26630,0.471
26631,0.542
26632,0.547
26633,0.466
26634,0.526
26635,0.559
26636,0.738
26637,0.503
26638,0.624
26639,0.418
26640,0.5
26641,0.502
26642,0.58
26643,0.541
26644,0.443
26645,0.471
26646,0.547
26647,0.544
26648,0.474
26649,0.516
26650,0.509
26651,0.478
26652,0.542
26653,0.489
26654,0.589
26655,0.551
26656,0.457
26657,0.5
26658,0.548
26659,0.465
26660,0.499
26661,0.463
26662,0.45
26663,0.566
26664,0.45
26665,0.442
26666,0.387
26667,0.495
26668,0.531
26669,0.4
26670,0.463
26671,0.413
26672,0.484
26673,0.478
26674,0.413
26675,0.472
26676,0.417
26677,0.647
26678,0.459
26679,0.508
26680,0.473
26681,0.649
26682,0.452
26683,0.622
26684,0.573
26685,0.45
26686,0.493
26687,0.551
26688,0.57
26689,0.548
26690,0.455
26691,0.495
26692,0.551
26693,0.486
26694,0.451
26695,0.64
26696,0.533
26697,0.455
26698,0.537
26699,0.399
26700,0.475
26701,0.482
26702,0.561
26703,0.473
26704,0.468
26705,0.546
26706,0.551
26707,0.526
26708,0.508
26709,0.383
26710,0.562
26711,0.507
26712,0.497
26713,0.629
26714,0.574
26715,0.526
26716,0.499
26717,0.464
26718,0.529
26719,0.491
26720,0.459
26721,0.403
26722,0.625
26723,0.475
26724,0.52
26725,0.498
26726,0.476
26727,0.463
26728,0.47
26729,0.484
26730,0.509
26731,0.583
26732,0.443
26733,0.513
26734,0.509
26735,0.576
26736,0.458
26737,0.447
26738,0.513
26739,0.683
26740,0.472
26741,0.638
26742,0.603
26743,0.555
26744,0.529
26745,0.558
26746,0.422
26747,0.531
26748,0.409
26749,0.552
26750,0.45
26751,0.542
26752,0.56
26753,0.454
26754,0.528
26755,0.397
26756,0.416
26757,0.547
26758,0.597
26759,0.527
26760,0.57
26761,0.427
26762,0.405
26763,0.465
26764,0.444
26765,0.455
26766,0.417
26767,0.434
26768,0.534
26769,0.418
26770,0.613
26771,0.519
26772,0.418
26773,0.481
26774,0.641
26775,0.463
26776,0.382
26777,0.45
26778,0.52
26779,0.564
26780,0.463
26781,0.505
26782,0.563
26783,0.656
26784,0.429
26785,0.527
26786,0.389
26787,0.387
26788,0.526
26789,0.603
26790,0.431
26791,0.558
26792,0.542
26793,0.586
26794,0.489
26795,0.533
26796,0.549
26797,0.5
26798,0.491
26799,0.554
26800,0.529
26801,0.564
26802,0.518
26803,0.488
26804,0.528
26805,0.525
26806,0.594
26807,0.554
26808,0.522
26809,0.58
26810,0.496
26811,0.473
26812,0.51
26813,0.512
26814,0.597
26815,0.508
26816,0.574
26817,0.519
26818,0.41
26819,0.468
26820,0.4
26821,0.437
26822,0.56
26823,0.454
26824,0.537
26825,0.577
26826,0.404
26827,0.477
26828,0.608
26829,0.409
26830,0.529
26831,0.424
26832,0.515
26833,0.563
26834,0.677
26835,0.471
26836,0.523
26837,0.536
26838,0.413
26839,0.52
26840,0.493
26841,0.461
26842,0.608
26843,0.593
26844,0.594
26845,0.44
26846,0.723
26847,0.532
26848,0.424
26849,0.503
26850,0.518
26851,0.496
26852,0.525
26853,0.439
26854,0.716
26855,0.514
26856,0.635
26857,0.451
26858,0.499
26859,0.413
26860,0.521
26861,0.481
26862,0.473
26863,0.404
26864,0.526
26865,0.407
26866,0.571
26867,0.483
26868,0.53
26869,0.675
26870,0.429
26871,0.509
26872,0.51
26873,0.486
26874,0.44
26875,0.368
26876,0.479
26877,0.556
26878,0.632
26879,0.452
26880,0.491
26881,0.509
26882,0.462
26883,0.485
26884,0.546
26885,0.541
26886,0.485
26887,0.493
26888,0.396
26889,0.48
26890,0.486
26891,0.346
26892,0.432
26893,0.483
26894,0.61
26895,0.651
26896,0.596
26897,0.441
26898,0.445
26899,0.49
26900,0.381
26901,0.515
26902,0.469
26903,0.475
26904,0.463
26905,0.576
26906,0.543
26907,0.489
26908,0.544
26909,0.626
26910,0.527
26911,0.47
26912,0.398
26913,0.545
26914,0.391
26915,0.504
26916,0.402
26917,0.581
26918,0.526
26919,0.562
26920,0.552
26921,0.409
26922,0.549
26923,0.6
26924,0.417
26925,0.353
26926,0.572
26927,0.654
26928,0.5
26929,0.564
26930,0.532
26931,0.505
26932,0.421
26933,0.447
26934,0.43
26935,0.384
26936,0.471
26937,0.451
26938,0.47
26939,0.561
26940,0.367
26941,0.408
26942,0.526
26943,0.462
26944,0.454
26945,0.653
26946,0.626
26947,0.468
26948,0.406
26949,0.509
26950,0.461
26951,0.474
26952,0.541
26953,0.554
26954,0.582
26955,0.426
26956,0.474
26957,0.511
26958,0.421
26959,0.538
26960,0.472
26961,0.521
26962,0.492
26963,0.551
26964,0.418
26965,0.451
26966,0.578
26967,0.535
26968,0.446
26969,0.638
26970,0.651
26971,0.588
26972,0.502
26973,0.468
26974,0.547
26975,0.466
26976,0.444
26977,0.556
26978,0.621
26979,0.367
26980,0.555
26981,0.39
26982,0.53
26983,0.559
26984,0.47
26985,0.459
26986,0.614
26987,0.52
26988,0.488
26989,0.442
26990,0.553
26991,0.576
26992,0.488
26993,0.68
26994,0.559
26995,0.484
26996,0.439
26997,0.541
26998,0.534
26999,0.481
27000,0.53
27001,0.429
27002,0.548
27003,0.482
27004,0.486
27005,0.591
27006,0.468
27007,0.48
27008,0.652
27009,0.567
27010,0.446
27011,0.468
27012,0.624
27013,0.554
27014,0.534
27015,0.404
27016,0.377
27017,0.572
27018,0.579
27019,0.506
27020,0.566
27021,0.508
27022,0.447
27023,0.618
27024,0.44
27025,0.711
27026,0.46
27027,0.477
27028,0.464
27029,0.558
27030,0.73
27031,0.425
27032,0.457
27033,0.45
27034,0.402
27035,0.596
27036,0.482
27037,0.421
27038,0.6
27039,0.485
27040,0.408
27041,0.536
27042,0.551
27043,0.398
27044,0.552
27045,0.458
27046,0.325
27047,0.492
27048,0.513
27049,0.449
27050,0.544
27051,0.564
27052,0.565
27053,0.45
27054,0.48
27055,0.508
27056,0.436
27057,0.525
27058,0.531
27059,0.485
27060,0.495
27061,0.485
27062,0.534
27063,0.417
27064,0.448
27065,0.41
27066,0.452
27067,0.656
27068,0.511
27069,0.342
27070,0.552
27071,0.48
27072,0.687
27073,0.729
27074,0.64
27075,0.404
27076,0.55
27077,0.493
27078,0.432
27079,0.543
27080,0.431
27081,0.462
27082,0.435
27083,0.391
27084,0.65
27085,0.515
27086,0.564
27087,0.517
27088,0.668
27089,0.381
27090,0.46
27091,0.456
27092,0.407
27093,0.496
27094,0.515
27095,0.572
27096,0.475
27097,0.55
27098,0.434
27099,0.53
27100,0.398
27101,0.447
27102,0.482
27103,0.425
27104,0.516
27105,0.452
27106,0.703
27107,0.492
27108,0.57
27109,0.402
27110,0.539
27111,0.544
27112,0.502
27113,0.467
27114,0.495
27115,0.553
27116,0.592
27117,0.414
27118,0.402
27119,0.448
27120,0.596
27121,0.435
27122,0.558
27123,0.546
27124,0.737
27125,0.369
27126,0.512
27127,0.6
27128,0.478
27129,0.534
27130,0.463
27131,0.415
27132,0.439
27133,0.524
27134,0.618
27135,0.607
27136,0.476
27137,0.458
27138,0.516
27139,0.616
27140,0.399
27141,0.598
27142,0.693
27143,0.439
27144,0.438
27145,0.437
27146,0.409
27147,0.455
27148,0.464
27149,0.569
27150,0.432
27151,0.423
27152,0.487
27153,0.542
27154,0.458
27155,0.583
27156,0.463
27157,0.557
27158,0.483
27159,0.462
27160,0.457
27161,0.414
27162,0.477
27163,0.51
27164,0.479
27165,0.42
27166,0.517
27167,0.503
27168,0.561
27169,0.501
27170,0.576
27171,0.437
27172,0.52
27173,0.41
27174,0.491
27175,0.421
27176,0.483
27177,0.512
27178,0.5
27179,0.556
27180,0.449
27181,0.506
27182,0.413
27183,0.63
27184,0.625
27185,0.625
27186,0.424
27187,0.622
27188,0.607
27189,0.492
27190,0.516
27191,0.481
27192,0.565
27193,0.408
27194,0.547
27195,0.582
27196,0.571
27197,0.539
27198,0.489
27199,0.521
27200,0.499
27201,0.509
27202,0.55
27203,0.554
27204,0.541
27205,0.521
27206,0.421
27207,0.528
27208,0.548
27209,0.5
27210,0.546
27211,0.593
27212,0.438
27213,0.477
27214,0.523
27215,0.461
27216,0.527
27217,0.458
27218,0.47
27219,0.427
27220,0.438
27221,0.524
27222,0.46
27223,0.532
27224,0.522
27225,0.55
27226,0.456
27227,0.536
27228,0.503
27229,0.526
27230,0.456
27231,0.541
27232,0.554
27233,0.481
27234,0.469
27235,0.503
27236,0.593
27237,0.477
27238,0.487
27239,0.491
27240,0.506
27241,0.547
27242,0.439
27243,0.436
27244,0.528
27245,0.48
27246,0.519
27247,0.495
27248,0.54
27249,0.421
27250,0.53
27251,0.52
27252,0.528
27253,0.531
27254,0.469
27255,0.529
27256,0.563
27257,0.621
27258,0.581
27259,0.517
27260,0.491
27261,0.496
27262,0.593
27263,0.431
27264,0.507
27265,0.451
27266,0.477
27267,0.666
27268,0.413
27269,0.519
27270,0.43
27271,0.488
27272,0.462
27273,0.496
27274,0.509
27275,0.581
27276,0.443
27277,0.5
27278,0.486
27279,0.445
27280,0.476
27281,0.687
27282,0.446
27283,0.517
27284,0.572
27285,0.641
27286,0.536
27287,0.516
27288,0.654
27289,0.518
27290,0.665
27291,0.595
27292,0.471
27293,0.478
27294,0.569
27295,0.459
27296,0.497
27297,0.535
27298,0.518
27299,0.458
27300,0.524
27301,0.424
27302,0.562
27303,0.448
27304,0.582
27305,0.508
27306,0.59
27307,0.526
27308,0.543
27309,0.584
27310,0.42
27311,0.52
27312,0.475
27313,0.43
27314,0.494
27315,0.566
27316,0.716
27317,0.491
27318,0.478
27319,0.557
27320,0.509
27321,0.451
27322,0.501
27323,0.504
27324,0.369
27325,0.418
27326,0.408
27327,0.427
27328,0.395
27329,0.533
27330,0.476
27331,0.43
27332,0.511
27333,0.601
27334,0.566
27335,0.541
27336,0.508
27337,0.434
27338,0.51
27339,0.61
27340,0.508
27341,0.42
27342,0.643
27343,0.666
27344,0.607
27345,0.475
27346,0.549
27347,0.407
27348,0.587
27349,0.578
27350,0.473
27351,0.499
27352,0.614
27353,0.511
27354,0.556
27355,0.524
27356,0.46
27357,0.465
27358,0.492
27359,0.715
27360,0.447
27361,0.482
27362,0.554
27363,0.512
27364,0.456
27365,0.534
